production_budget_usd,worldwide_gross_usd
10000000,1000000
10000000,1000000
10000000,1001437
10000000,1002572859
10000000,1005840
10000000,1011054
10000000,1011535
10000000,1017003568
10000000,1019922983
10000000,1022453
10000000,1022617376
10000000,1022649
10000000,1025491110
10000000,1027044677
10000000,1027228
10000000,1032075
10000000,1033810
10000000,1036
10000000,1038812584
10000000,1045663875
10000000,1049641
10000000,1050861
10000000,1050988488
10000000,1051907
10000000,1060512
10000000,1065907
10000000,1066215812
10000000,1066555
10000000,1069318
10000000,1069454
10000000,1069818229
10000000,1075009
10000000,1075504
10000000,1079040
10000000,1080428
10000000,1083350
10000000,1084439099
10000000,1087521
10000000,1100287
10000000,1104039076
10000000,1109276
10000000,1110526981
10000000,1111615
10000000,1123790543
10000000,1126258
10000000,1131261
10000000,1134358
10000000,1140965
10000000,1141403341
10000000,1147784
10000000,1148578
10000000,1151684349
10000000,1152117
10000000,1152411
10000000,1156309
10000000,1157672
10000000,1158877
10000000,1160
10000000,1161843
10000000,1162014
10000000,1165102
10000000,1165996
10000000,1167092
10000000,1167245366
10000000,1167524
10000000,1178175
10000000,1179462
10000000,1188194
10000000,1190003
10000000,1199510
10000000,1200000
10000000,1200346
10000000,1215392272
10000000,1217
10000000,1217307
10000000,1227508
10000000,1230542
10000000,1237444462
10000000,1237615
10000000,1239174
10000000,1242
10000000,1246141
10000000,1250617
10000000,1250798
10000000,1260122363
10000000,1261792
10000000,1268346
10000000,1269705
10000000,1274234980
10000000,1278471
10000000,1290920
10000000,1297745
10000000,1299855
10000000,1305114
10000000,1308696
10000000,1310470
10000000,1320043
10000000,1322161
10000000,1324299
10000000,1333891
10000000,1336
10000000,1338
10000000,1341511219
10000000,1348750
10000000,1353296
10000000,1353824
10000000,1355079
10000000,1355728
10000000,1358
10000000,1365108
10000000,1366235
10000000,1373407
10000000,1375194
10000000,1375635
10000000,1381824
10000000,1386088
10000000,1391410
10000000,1396395
10000000,1404705868
10000000,1405032
10000000,1412799
10000000,1415656
10000000,1416046
10000000,1418304
10000000,1420418
10000000,1425707
10000000,1429453
10000000,1433319
10000000,1445140
10000000,1467278
10000000,1480089
10000000,1492895
10000000,1500000
10000000,1500000
10000000,1500711
10000000,1504960
10000000,1513388
10000000,1516748684
10000000,1519479547
10000000,1526697
10000000,1537479
10000000,1541131
10000000,1545064
10100000,1549000
10100000,1553556
10100000,1562800
10350000,1577585
10400000,1590246
10500000,1595168
10500000,1597233
10500000,1600566
10500000,1610194
10600000,1612957
10600000,1615787
10700000,1619602
10700000,1620056
10750000,1628579
10800000,1632
10800000,1635241
10800000,1638202
100000,1641788
100000,1642939
100000,1646664
100000,1647780
100000,1660865
100000,1661464
100000,1663296
100000,1671640593
100000,1673635
100000,1686429
100000,1687548
100000,1693000
100000,1695126
100000,1696765
100000,1705139
100000,1705908
100000,1711
